Kingdom;Phylum;Class;Order;Family;Genus;Species
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Gallionellaceae; g__Sideroxydans; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__Syntrophobacter; s__
k__Bacteria; p__Epsilonbacteraeota; c__Desulfurellia; o__Desulfurellales; f__H16; g__; s__
k__Bacteria; p__Epsilonbacteraeota; c__Desulfurellia; o__Desulfurellales; f__H16; g__; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteria group 15; o__; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Holophagae; o__Acidobacteria group 7a; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Holophagae; o__Acidobacteria group 7a; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Holophagae; o__Acidobacteria group 7a; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Solibacterales; f__Bryobacteraceae; g__Paludibaculum; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Solibacterales; f__Bryobacteraceae; g__Unknown Bryobacteraceae genus 11; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteria group 13; o__; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Solibacterales; f__Unknown Solibacterales family 10; g__; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteria group 12; o__; f__; g__; s__
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__; s__
k__Bacteria; p__Verrucomicrobia; c__OPB35 soil group; o__; f__; g__; s__
k__Archaea; p__Thaumarchaeota; c__Ca. Allo-Thaumarchaeota; o__FHMa11 terrestrial group (Group 1.1c); f__; g__; s__
k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Unknown Chthoniobacteraceae genus 3; s__
k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Chthoniobacterales; f__Unknown Chthoniobacterales family 5; g__; s__
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Gsoil-1167; g__; s__
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__; s__
k__Bacteria; p__Verrucomicrobia; c__OPB35 soil group; o__; f__; g__; s__
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Anaerolineaceae UCG-001; s__
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__VHS-B3-70; g__; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
k__Bacteria; p__Ignavibacteriae; c__Ignavibacteria; o__Ignavibacteriales; f__; g__; s__
k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__C0119; f__; g__; s__
k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__C0119; f__; g__; s__
k__Bacteria; p__BRC1; c__; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Unknown Geobacteraceae genus 10; s__
k__Apusozoa superkingdom incertae sedis; p__Apusozoa; c__Amastigomonas class incertae sedis; o__Amastigomonas order incertae sedis; f__Amastigomonas family incertae sedis; g__Amastigomonas; s__
k__Bacteria; p__Ca. Parcubacteria; c__Candidatus Adlerbacteria; o__; f__; g__; s__
k__Bacteria; p__Ca. Parcubacteria; c__Candidatus Azambacteria; o__; f__; g__; s__
k__Bacteria; p__Ca. Parcubacteria; c__Candidatus Azambacteria; o__; f__; g__; s__
k__Bacteria; p__Ca. Microgenomates (OP11); c__Candidatus Pacebacteria; o__; f__; g__; s__
k__Bacteria; p__Ca. Microgenomates (OP11); c__Candidatus Pacebacteria; o__; f__; g__; s__
k__Bacteria; p__Ca. Saccharibacteria (TM7); c__; o__; f__; g__; s__
k__Bacteria; p__Ca. Saccharibacteria (TM7); c__; o__; f__; g__; s__
k__Bacteria; p__Ca. Saccharibacteria (TM7); c__; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__Unknown Bacteriovoracaceae genus 2; s__
k__SAR; p__Cercozoa; c__Cercomonadidae class incertae sedis; o__Cercomonadidae order incertae sedis; f__Cercomonadidae; g__; s__
k__SAR; p__MAST-12; c__MAST-12C; o__; f__; g__; s__
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
k__Bacteria; p__Bacteroidetes; c__Chitinophagia; o__Chitinophagales; f__Chitinophagaceae; g__; s__
k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__FW13; g__; s__
k__Bacteria; p__Ca. Dependentiae (TM6); c__; o__; f__; g__; s__
k__Bacteria; p__Ca. Gracilibacteria; c__; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__; s__
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Unknown Legionellaceae genus 4; s__
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HTA4; f__; g__; s__
k__Bacteria; p__Epsilonbacteraeota; c__Desulfurellia; o__Desulfurellales; f__Unknown Desulfurellales family 1; g__; s__
k__Bacteria; p__Epsilonbacteraeota; c__Desulfurellia; o__Desulfurellales; f__H16; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__Haliangium; s__
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Unknown Clostridiaceae genus 3; s__
k__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Gelria; s__
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
k__Bacteria; p__Chloroflexi; c__Chloroflexi Subdivision 2; o__; f__; g__; s__
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__0319-6M6; g__; s__
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
k__Bacteria; p__Planctomycetes; c__OM190; o__; f__; g__; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__Gemmata; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__Gemmata; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__Pirellula; s__
k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Tepidisphaerales; f__Tepidisphaeraceae; g__; s__
k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Tepidisphaerales; f__Tepidisphaeraceae; g__; s__
k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Tepidisphaerales; f__Tepidisphaeraceae; g__; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteria group 17; o__; f__; g__; s__
k__Bacteria; p__Verrucomicrobia; c__OPB35 soil group; o__; f__; g__; s__
k__Bacteria; p__Verrucomicrobia; c__OPB35 soil group; o__; f__; g__; s__
k__Bacteria; p__Verrucomicrobia; c__OPB35 soil group; o__; f__; g__; s__
k__Bacteria; p__Verrucomicrobia; c__OPB35 soil group; o__; f__; g__; s__
k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Chthoniobacterales; f__Xiphinematobacteraceae; g__Candidatus Xiphinematobacter; s__
k__Bacteria; p__Ca. Dependentiae (TM6); c__; o__; f__; g__; s__
k__Bacteria; p__Ca. Dependentiae (TM6); c__; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Unknown Legionellaceae genus 2; s__
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Unknown Legionellaceae genus 3; s__
k__Bacteria; p__Epsilonbacteraeota; c__Desulfurellia; o__Desulfurellales; f__H16; g__; s__
k__Bacteria; p__Ca. Dependentiae (TM6); c__; o__; f__; g__; s__
k__Bacteria; p__Ca. Dependentiae (TM6); c__; o__; f__; g__; s__
k__Bacteria; p__Ca. Saccharibacteria (TM7); c__; o__; f__; g__; s__
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
k__Bacteria; p__Chloroflexi; c__Chloroflexi Subdivision 8 (TK10); o__; f__; g__; s__
k__Bacteria; p__Chloroflexi; c__Chloroflexi Subdivision 8 (TK10); o__; f__; g__; s__
k__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__Roseiflexus; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Tepidisphaerales; f__Tepidisphaeraceae; g__; s__
k__Bacteria; p__Armatimonadetes; c__; o__; f__; g__; s__
k__Bacteria; p__Armatimonadetes; c__Armatimonadetes Group 3; o__; f__; g__; s__
k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadaceae; g__Chthonomonas; s__
k__Bacteria; p__Ca. Gracilibacteria; c__; o__; f__; g__; s__
k__Bacteria; p__Ca. Gracilibacteria; c__; o__; f__; g__; s__
k__Bacteria; p__Ca. Gracilibacteria; c__; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__; s__
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Unknown Bacillaceae genus 1; s__
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Lentimicrobiaceae; g__; s__
k__Bacteria; p__Verrucomicrobia; c__S-BQ2-57 soil group; o__; f__; g__; s__
k__Bacteria; p__Verrucomicrobia; c__S-BQ2-57 soil group; o__; f__; g__; s__
k__Bacteria; p__Verrucomicrobia; c__OPB35 soil group; o__; f__; g__; s__
k__Bacteria; p__Kiritimatiellaeota; c__WCHB1-41; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__
k__Bacteria; p__Cyanobacteria; c__ML635J-21; o__; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteria group 18; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__Haliangium; s__
k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__; g__; s__
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__; g__; s__
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Solibacterales; f__Bryobacteraceae; g__Bryobacter; s__
k__Bacteria; p__Ca. Saccharibacteria (TM7); c__; o__; f__; g__; s__
k__Bacteria; p__Ca. Saccharibacteria (TM7); c__; o__; f__; g__; s__
k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteriia (Acidobacteria group 1); o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Solibacterales; f__Bryobacteraceae; g__Bryobacter; s__
k__Bacteria; p__Ca. Parcubacteria; c__Candidatus Magasanikbacteria; o__; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteria group 12; o__; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteria group 12; o__; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteria group 12; o__; f__; g__; s__
k__Bacteria; p__Ca. Parcubacteria; c__; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Solibacterales; f__Solibacteraceae; g__Unknown Solibacteraceae genus 12; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Solibacterales; f__Solibacteraceae; g__Unknown Solibacteraceae genus 11; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteriia (Acidobacteria group 1); o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
k__Bacteria; p__Ca. Parcubacteria; c__; o__; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Solibacterales; f__Solibacteraceae; g__Ca. Solibacter; s__
k__Bacteria; p__Gemmatimonadetes; c__S0134 terrestrial group; o__; f__; g__; s__
k__Bacteria; p__Bacteroidetes; c__Bacteroidetes vadinHA17; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__Desulfocapsa; s__
k__SAR; p__Cercozoa; c__Glissomonadida class incertae sedis; o__Glissomonadida; f__; g__; s__
k__SAR; p__Cercozoa; c__Glissomonadida class incertae sedis; o__Glissomonadida; f__; g__; s__
k__SAR; p__Cercozoa; c__Glissomonadida class incertae sedis; o__Glissomonadida; f__; g__; s__
k__Amoebozoa; p__Lobosa; c__Discosea; o__Flabellinia; f__Dactylopodida; g__; s__
k__SAR; p__Chrysophyceae phylum incertae sedis; c__Chrysophyceae; o__LG21-05; f__; g__; s__
k__Opisthokonta; p__Tardigrada; c__Eutardigrada; o__Parachela order incertae sedis; f__Parachela family incertae sedis; g__Parachela; s__
k__SAR; p__Ciliophora; c__Litostomatea; o__Haptoria; f__; g__; s__
k__Opisthokonta; p__Cryptomycota; c__Paramicrosporidium class incertae sedis; o__Paramicrosporidium order incertae sedis; f__Paramicrosporidium family incertae sedis; g__Paramicrosporidium; s__
k__SAR; p__Cercozoa; c__Metromonadea; o__Metopion order incertae sedis; f__Metopion family incertae sedis; g__Metopion; s__
k__SAR; p__Cercozoa; c__Metromonadea; o__Metopion order incertae sedis; f__Metopion family incertae sedis; g__Metopion; s__
k__SAR; p__Cercozoa; c__Phytomyxea; o__; f__; g__; s__
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Acidimicrobiaceae; g__; s__
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Oceanobacillus; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Archangiaceae; g__Unknown Archangiaceae genus 11; s__
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
k__Bacteria; p__Chloroflexi; c__Dehalococcoidia (subdiv. 6); o__Dehalococcoidales; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Crenotrichaceae; g__Unknown Crenotrichaceae genus 2; s__
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__S15A-MN91; g__; s__
k__SAR; p__Ciliophora; c__Litostomatea; o__; f__; g__; s__
k__SAR; p__Ciliophora; c__Oligohymenophorea; o__Scuticociliatia; f__Protocyclidium family incertae sedis; g__Protocyclidium; s__
k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__; g__; s__
k__Excavata; p__Kinetoplastea; c__Metakinetoplastina; o__Neobodonida; f__Neobodo family incertae sedis; g__Neobodo; s__
k__SAR; p__Chrysophyceae phylum incertae sedis; c__Chrysophyceae; o__P34.45; f__; g__; s__
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__KD3-93; g__; s__
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Acidimicrobiaceae; g__CL500-29 marine group; s__
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Acidimicrobiaceae; g__CL500-29 marine group; s__
k__Bacteria; p__Verrucomicrobia; c__OPB35 soil group; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Oligoflexales; f__0319-6G20; g__; s__
k__Bacteria; p__Lentisphaerae; c__Oligosphaeria; o__Oligosphaerales; f__MVP-94; g__; s__
k__Bacteria; p__Ca. Microgenomates (OP11); c__Candidatus Shapirobacteria; o__; f__; g__; s__
k__Bacteria; p__Bacteroidetes; c__Bacteroidetes BD2-2; o__; f__; g__; s__
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminiclostridium 1; s__
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Sterolibacterium; s__
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unknown Paenibacillus species 1
k__SAR; p__Bicosoecida phylum incertae sedis; c__Bicosoecida class incertae sedis; o__Bicosoecida; f__CH1-2B-3; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__Haliangium; s__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Variibacter; s__
k__Bacteria; p__Actinobacteria; c__Actinobacteria (class); o__Frankiales; f__Unknown Frankiales family 2; g__; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Unknown Solibacteres (Acidobacteria group 3) order 1; f__; g__; s__
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Roseiarcaceae; g__Unknown Roseiarcaceae genus 1; s__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Unknown Xanthobacteraceae genus 5; s__
k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__Sphaerobacterales; f__Sphaerobacteraceae; g__Nitrolancea; s__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__env.OPS 17; g__; s__
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__env.OPS 17; g__; s__
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__KD3-93; g__; s__
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__Unknown Coxiellaceae genus 6; s__
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__KD3-93; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bradymonadales; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bradymonadales; f__; g__; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__Singulisphaera; s__
k__Bacteria; p__Verrucomicrobia; c__UA11; o__; f__; g__; s__
k__Bacteria; p__Verrucomicrobia; c__S-BQ2-57 soil group; o__; f__; g__; s__
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Odoribacteraceae; g__; s__
k__Bacteria; p__Verrucomicrobia; c__OPB35 soil group; o__; f__; g__; s__
